2024-09-08T17:14:47Z | debug | node-management/client.codegen.go:303 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getLogger | Found logger in injector | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988186857Z", "timeSpent": "1.88µs", "timeSpentMilliseconds": 0}
2024-09-08T17:14:47Z | info | node-management/client.codegen.go:100 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.NewChefNodeManagementApiClient | Entered client | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988280172Z", "timeSpent": "95.195µs", "timeSpentMilliseconds": 0}
2024-09-08T17:14:47Z | debug | node-management/client.codegen.go:101 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.NewChefNodeManagementApiClient | Entered client | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988298302Z", "timeSpent": "113.325µs", "timeSpentMilliseconds": 0, "config": {"access_key":"IW9EKSY75Q5P2OZPH7BZ","injector":{},"insecure":false,"max_retries":0,"platform_auth_type":"access_secret","refresh_threshold":300000000000,"retry_wait_max":60000000000,"retry_wait_min":5000000000,"root_ca":null,"secret_key":"k7sTwAbhkdNZLrzcHlUYQOCamTc4s1dT9wivEfVG","server":"http://workshop.chef360.io","timeout":60000000000}, "clientType": 0, "serviceIdentity": null}
2024-09-08T17:14:47Z | info | node-management/client.codegen.go:176 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getAgentWithVerifyResp | Entered getAgentWithVerifyResp | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.98837975Z", "timeSpent": "194.773µs", "timeSpentMilliseconds": 0}
2024-09-08T17:14:47Z | debug | node-management/client.codegen.go:177 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getAgentWithVerifyResp | Entered getAgentWithVerifyResp | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988392643Z", "timeSpent": "207.666µs", "timeSpentMilliseconds": 0, "config": {"access_key":"IW9EKSY75Q5P2OZPH7BZ","injector":{},"insecure":false,"max_retries":0,"platform_auth_type":"access_secret","refresh_threshold":300000000000,"retry_wait_max":60000000000,"retry_wait_min":5000000000,"root_ca":null,"secret_key":"k7sTwAbhkdNZLrzcHlUYQOCamTc4s1dT9wivEfVG","server":"http://workshop.chef360.io","timeout":60000000000}, "clientType": 0}
2024-09-08T17:14:47Z | debug | node-management/client.codegen.go:202 | github.com/progress-platform-services/chef-node-management-server/public/client/node-management.getAgentWithVerifyResp | Using Access/Secret Key based auth | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988424376Z", "timeSpent": "239.399µs", "timeSpentMilliseconds": 0, "AccessKey": "IW9EKSY75Q5P2OZPH7BZ", "SecretKey": "k7sTwAbhkdNZLrzcHlUYQOCamTc4s1dT9wivEfVG", "RefreshBeforeExpiryDuration": 300, "clientType": 0}
2024-09-08T17:14:47Z | debug | pagent/agent.go:112 | github.com/progress-platform-services/platform-common/pweb/pagent.NewAgent[...] | Inside NewAgent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988456481Z", "timeSpent": "271.504µs", "timeSpentMilliseconds": 0}
2024-09-08T17:14:47Z | debug | pagent/agent.go:141 | github.com/progress-platform-services/platform-common/pweb/pagent.(*Agent[...]).Init | Inside Init function of agent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:47Z", "endTimeNano": "2024-09-08T17:14:47.988474443Z", "timeSpent": "289.466µs", "timeSpentMilliseconds": 0, "ct": 0}
2024-09-08T17:14:48Z | debug | pauthtype/keyauth.go:26 | github.com/progress-platform-services/platform-common/pweb/pagent/pauthtype.AccessKeySecretAuth.CreatePlugin | Inside AccessKeySecretAuth CreatePlugin | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049048673Z", "timeSpent": "60.863696ms", "timeSpentMilliseconds": 60}
2024-09-08T17:14:48Z | debug | pauthtype/keyauth.go:39 | github.com/progress-platform-services/platform-common/pweb/pagent/pauthtype.AccessKeySecretAuth.CreatePlugin | Exiting AccessKeySecretAuth CreatePlugin | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049234378Z", "timeSpent": "61.049401ms", "timeSpentMilliseconds": 61}
2024-09-08T17:14:48Z | debug | pagent/agent.go:169 | github.com/progress-platform-services/platform-common/pweb/pagent.(*Agent[...]).Init | Exiting Init function of agent | {"beginTime": "2024-09-08T17:14:47Z", "beginTimeNano": "2024-09-08T17:14:47.988184977Z", "endTime": "2024-09-08T17:14:48Z", "endTimeNano": "2024-09-08T17:14:48.049257329Z", "timeSpent": "61.072352ms", "timeSpentMilliseconds": 61, "ct": 0}
